[INFO][2018-03-22 15:09:02.687759][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:03.764090][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:06.012272][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:09.564157][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:10.340522][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:11.028777][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:18.232491][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:30.173523][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:40.712230][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:40.876732][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:42.324034][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:48.801200][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:09:55.359787][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:05.167765][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:15.390158][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:23.711701][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:29.575245][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:35.231690][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:40.615977][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:46.535721][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:52.655827][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:10:59.152096][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:06.471769][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:11.623701][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:16.680148][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:21.919711][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:29.183876][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:34.325504][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:40.831154][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:46.671856][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:52.005545][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:11:57.504202][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:04.662241][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:09.589529][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:16.159283][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:21.964655][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:27.486341][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:32.397676][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:12:40.107909][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:01.519486][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:09.822354][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:17.573896][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:25.239243][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:30.791509][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:36.109531][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:41.390565][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:48.406549][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:13:56.038484][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:07.316417][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:10.298113][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:11.161972][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:21.430430][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:30.166265][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:36.557535][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:42.623151][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:48.069707][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:53.941316][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:14:58.812105][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:04.951571][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:10.243163][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:15.598629][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:21.950268][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:26.853685][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:32.348724][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:37.749681][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:15:51.700791][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:34:14.653545][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:34:14.653678][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:34:19.353287][ Manual ]Contacted? (y/n)
